name;frameIndex;frameTime;pcm_fftMag[0];pcm_fftMag[1];pcm_fftMag[2];pcm_fftMag[3];pcm_fftMag[4];pcm_fftMag[5];pcm_fftMag[6];pcm_fftMag[7];pcm_fftMag[8];pcm_fftMag[9];pcm_fftMag[10];pcm_fftMag[11];pcm_fftMag[12];pcm_fftMag[13];pcm_fftMag[14];pcm_fftMag[15];pcm_fftMag[16];pcm_fftMag[17];pcm_fftMag[18];pcm_fftMag[19];pcm_fftMag[20];pcm_fftMag[21];pcm_fftMag[22];pcm_fftMag[23];pcm_fftMag[24];pcm_fftMag[25];pcm_fftMag[26];pcm_fftMag[27];pcm_fftMag[28];pcm_fftMag[29];pcm_fftMag[30];pcm_fftMag[31];pcm_fftMag[32]
'test/1khz.wav';10;0.080000;2.257347e-03;2.790838e-03;4.270886e-03;6.888386e-03;1.179723e-02;2.309201e-02;6.344704e-02;5.950273e+00;1.368039e+01;5.950134e+00;6.372923e-02;2.352569e-02;1.239340e-02;7.653761e-03;5.188105e-03;3.742681e-03;2.826278e-03;2.212990e-03;1.788285e-03;1.491259e-03;1.296387e-03;1.220639e-03;1.501714e-03;7.009599e-02;1.628501e-01;7.023392e-02;1.168665e-03;6.880808e-04;5.424766e-04;4.728390e-04;4.343956e-04;4.140149e-04;4.081726e-04
'test/1khz.wav';11;0.088000;2.257347e-03;2.790838e-03;4.270886e-03;6.888386e-03;1.179723e-02;2.309201e-02;6.344704e-02;5.950273e+00;1.368039e+01;5.950134e+00;6.372923e-02;2.352569e-02;1.239340e-02;7.653761e-03;5.188105e-03;3.742681e-03;2.826278e-03;2.212990e-03;1.788285e-03;1.491259e-03;1.296387e-03;1.220639e-03;1.501714e-03;7.009599e-02;1.628501e-01;7.023392e-02;1.168665e-03;6.880808e-04;5.424766e-04;4.728390e-04;4.343956e-04;4.140149e-04;4.081726e-04
'test/1khz.wav';12;0.096000;2.166538e-03;2.811267e-03;4.360255e-03;6.889730e-03;1.170977e-02;2.304296e-02;6.350398e-02;5.950187e+00;1.368039e+01;5.950219e+00;6.367128e-02;2.357149e-02;1.248284e-02;7.670392e-03;5.110032e-03;3.672859e-03;2.857274e-03;2.303805e-03;1.823556e-03;1.425256e-03;1.215655e-03;1.228034e-03;1.582688e-03;7.001025e-02;1.628499e-01;7.031927e-02;1.141661e-03;7.709471e-04;6.008699e-04;4.190271e-04;3.562930e-04;4.444847e-04;4.989818e-04
'test/1khz.wav';13;0.104000;2.337951e-03;2.858870e-03;4.286070e-03;6.831181e-03;1.171959e-02;2.307511e-02;6.350987e-02;5.950200e+00;1.368039e+01;5.950207e+00;6.366722e-02;2.354641e-02;1.247279e-02;7.700035e-03;5.147718e-03;3.662445e-03;2.800945e-03;2.271841e-03;1.863505e-03;1.497365e-03;1.224658e-03;1.162409e-03;1.540823e-03;7.002345e-02;1.628503e-01;7.030692e-02;1.092984e-03;6.658030e-04;5.939014e-04;5.532915e-04;4.769656e-04;3.785537e-04;3.275689e-04
'test/1khz.wav';14;0.112000;2.196275e-03;2.739785e-03;4.268612e-03;6.953904e-03;1.188012e-02;2.311266e-02;6.338634e-02;5.950345e+00;1.368039e+01;5.950062e+00;6.378946e-02;2.350251e-02;1.231063e-02;7.604107e-03;5.224803e-03;3.817291e-03;2.846842e-03;2.148039e-03;1.706180e-03;1.482193e-03;1.361021e-03;1.272349e-03;1.459402e-03;7.016763e-02;1.628498e-01;7.016179e-02;1.236282e-03;7.044444e-04;4.818398e-04;3.752600e-04;3.864236e-04;4.423913e-04;4.692446e-04
'test/1khz.wav';15;0.120000;1.846290e-03;3.068465e-03;4.281088e-03;6.598197e-03;1.219373e-02;2.282694e-02;6.348990e-02;5.950212e+00;1.368039e+01;5.950196e+00;6.368691e-02;2.379674e-02;1.198880e-02;7.946737e-03;5.160447e-03;3.597327e-03;2.986123e-03;2.199399e-03;1.839558e-03;1.281289e-03;1.674788e-03;9.333832e-04;1.528045e-03;7.003756e-02;1.628494e-01;7.029758e-02;1.116953e-03;8.837838e-04;4.453817e-04;7.023551e-04;4.623437e-04;1.263559e-04;8.192295e-04
'test/1khz.wav';16;0.128000;2.257347e-03;2.790838e-03;4.270886e-03;6.888386e-03;1.179723e-02;2.309201e-02;6.344704e-02;5.950273e+00;1.368039e+01;5.950134e+00;6.372923e-02;2.352569e-02;1.239340e-02;7.653761e-03;5.188105e-03;3.742681e-03;2.826278e-03;2.212990e-03;1.788285e-03;1.491259e-03;1.296387e-03;1.220639e-03;1.501714e-03;7.009599e-02;1.628501e-01;7.023392e-02;1.168665e-03;6.880808e-04;5.424766e-04;4.728390e-04;4.343956e-04;4.140149e-04;4.081726e-04
'test/1khz.wav';17;0.136000;2.494722e-03;2.559209e-03;4.504616e-03;6.651022e-03;1.202608e-02;2.289281e-02;6.359606e-02;5.950353e+00;1.368039e+01;5.950055e+00;6.357789e-02;2.373117e-02;1.215970e-02;7.887474e-03;4.984933e-03;3.897426e-03;2.757761e-03;2.220910e-03;1.888321e-03;1.343417e-03;1.512827e-03;9.835592e-04;1.715458e-03;7.017487e-02;1.628509e-01;7.015295e-02;1.112425e-03;8.193625e-04;4.445942e-04;6.705181e-04;2.491274e-04;6.470391e-04;1.707976e-04
'test/1khz.wav';18;0.144000;2.414750e-03;2.927621e-03;4.210811e-03;6.835993e-03;1.179356e-02;2.293543e-02;6.346181e-02;5.949956e+00;1.368039e+01;5.950450e+00;6.371635e-02;2.367670e-02;1.239715e-02;7.747908e-03;5.214578e-03;3.466118e-03;2.778769e-03;2.530053e-03;1.837876e-03;1.307034e-03;1.292978e-03;1.190181e-03;1.475054e-03;6.977958e-02;1.628506e-01;7.054962e-02;1.122608e-03;8.950381e-04;5.447448e-04;4.282952e-04;5.409207e-04;5.389277e-04;2.507694e-04
'test/1khz.wav';19;0.152000;2.285469e-03;2.918398e-03;4.079916e-03;6.952745e-03;1.191602e-02;2.293953e-02;6.351338e-02;5.950264e+00;1.368039e+01;5.950142e+00;6.366109e-02;2.369856e-02;1.225610e-02;7.582003e-03;5.481732e-03;3.472114e-03;2.817204e-03;2.530475e-03;1.433681e-03;1.569528e-03;1.550975e-03;9.155716e-04;1.618674e-03;7.008979e-02;1.628495e-01;7.024387e-02;1.160082e-03;7.417458e-04;6.585540e-04;4.614068e-04;5.453532e-04;5.460979e-04;3.800508e-04
